accession,smiles
HMDB0000001,CN1C=NC(C[C@H](N)C(O)=O)=C1
HMDB0000002,NCCCN
HMDB0000005,CCC(=O)C(O)=O
HMDB0000008,CC[C@H](O)C(O)=O
HMDB0000010,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3
HMDB0000011,C[C@@H](O)CC(O)=O
HMDB0000012,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O
HMDB0000014,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
HMDB0000015,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
HMDB0000016,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
HMDB0000017,CC1=NC=C(CO)C(C(O)=O)=C1O
HMDB0000019,CC(C)C(=O)C(O)=O
HMDB0000020,OC(=O)CC1=CC=C(O)C=C1
HMDB0000021,N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O
HMDB0000022,COC1=C(O)C=CC(CCN)=C1
HMDB0000023,C[C@@H](CO)C(O)=O
HMDB0000024,[H][C@@](CO[C@@H]1O[C@H](CO)[C@H](O)C(OS(O)(=O)=O)C1O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@]([H])(O)\C=C\CCCCCCCCCCCCC
HMDB0000026,NC(=O)NCCC(O)=O
HMDB0000027,[H][C@@]1(CNC2=C(N1)C(=O)N=C(N)N2)[C@@H](O)[C@H](C)O
HMDB0000030,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
HMDB0000031,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C
HMDB0000032,[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
HMDB0000033,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O
HMDB0000034,NC1=C2NC=NC2=NC=N1
HMDB0000036,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O
HMDB0000037,[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O
HMDB0000038,C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O
HMDB0000039,CCCC(O)=O
HMDB0000042,CC(O)=O
HMDB0000043,C[N+](C)(C)CC(O)=O
HMDB0000044,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
HMDB0000045,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
HMDB0000048,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
HMDB0000050,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
HMDB0000051,N
HMDB0000052,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O
